"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:27:05:84","筑波大学",,,,,
="0:27:33:17",,"キックオフ",,,,
="0:27:35:19",,,"森海渡","パス",,
="0:27:35:57","ポゼッションエンド",,,,,
="0:27:35:57","筑波大学",,,,,
="0:27:38:77",,,"高嶺朋樹","パス",,
="0:27:41:32",,,"手塚貴大","パス",,
="0:27:41:45",,,"高嶺朋樹","パス",,
="0:27:43:75",,,"生地慶充","パス",,
="0:27:47:69",,,"知久航介","パス",,
="0:27:48:20","ポゼッションスタート",,,,,
="0:27:48:20","相手チーム",,,,,
="0:27:50:37",,,,"ボールロスト",,
="0:28:01:26","ポゼッションエンド",,,,,
="0:28:01:26","相手チーム",,,,,
="0:28:28:57",,,"手塚貴大",,"カット",
="0:28:29:85","ポゼッションスタート",,,,,
="0:28:29:85","相手チーム",,,,,
="0:28:37:24","ポゼッションエンド",,,,,
="0:28:37:24","相手チーム",,,,,
="0:28:40:67",,,"池谷祐輔",,"インターセプト",
="0:28:41:87","ポゼッションスタート",,,,,
="0:28:41:87","筑波大学",,,,,
="0:28:43:71","ポゼッションエンド",,,,,
="0:28:43:71","筑波大学",,,,,
="0:28:45:35",,,"知久航介","パス",,
="0:28:48:28",,,"山川哲史","パス",,
="0:28:49:85","相手チーム",,,,,"ファール"
="0:28:49:93",,,"池谷祐輔","パス",,
="0:28:50:39","ポゼッションスタート",,,,,
="0:28:50:39","筑波大学",,,,,
="0:28:53:22","ポゼッションエンド",,,,,
="0:28:53:22","筑波大学",,,,,
="0:28:59:72",,,"井川空","パス",,
="0:29:02:73",,,"渡邊陽","パス",,
="0:29:04:53",,,"高嶺朋樹","パス",,
="0:29:07:33",,,"山川哲史","パス",,
="0:29:10:61",,,"知久航介","パス",,
="0:29:14:29",,,"渡邊陽","パス",,
="0:29:16:77",,,"加藤匠人","ボールロスト",,
="0:29:17:64",,,"池谷祐輔","ボールロスト",,
="0:29:17:84",,,"加藤匠人","パス",,
="0:29:20:35",,,"高嶺朋樹","パス",,
="0:29:21:29",,,"加藤匠人","パス",,
="0:29:22:76",,,"手塚貴大","パス",,
="0:29:24:92",,,"渡邊陽","パス",,
="0:29:26:84",,,"高嶺朋樹","パス",,
="0:29:29:86",,,"渡邊陽","パス",,
="0:29:31:35",,,"山川哲史","パス",,
="0:29:34:06",,,"知久航介","パス",,
="0:29:38:05",,,"池谷祐輔","パス",,
="0:29:39:55",,,"渡邊陽","パス",,
="0:29:43:14",,,"生地慶充",,,
="0:29:51:47",,,"高嶺朋樹","パス",,
="0:29:53:98",,,"知久航介",,,
="0:29:55:17",,,"高嶺朋樹","パス",,
="0:29:57:30",,,"加藤匠人","パス",,
="0:30:02:11",,,"渡邊陽","パス",,
="0:30:05:14",,,"高嶺朋樹","パス",,
="0:30:06:55",,,"知久航介","ボールロスト",,
="0:30:07:52","ポゼッションスタート",,,,,
="0:30:07:52","筑波大学",,,,,
="0:30:30:66","ポゼッションエンド",,,,,
="0:30:30:66","筑波大学",,,,,
="0:30:32:45",,,"高嶺朋樹","パス",,
="0:30:35:80",,,"渡邊陽","パス",,
="0:30:36:13","ポゼッションスタート",,,,,
="0:30:36:13","相手チーム",,,,,
="0:30:36:70",,,"加藤匠人","ボールロスト",,
="0:30:38:16","ポゼッションエンド",,,,,
="0:30:38:16","相手チーム",,,,,
="0:31:01:70","ポゼッションスタート",,,,,
="0:31:01:70","相手チーム",,,,,
="0:31:03:14",,,"手塚貴大","パス",,
="0:31:04:64","ポゼッションエンド",,,,,
="0:31:04:64","相手チーム",,,,,
="0:31:05:23",,,"加藤匠人","ボールロスト",,
="0:31:12:52","ポゼッションスタート",,,,,
="0:31:12:52","筑波大学",,,,,
="0:31:19:25",,,"井川空","パス",,
="0:31:22:62",,,"手塚貴大","パス",,
="0:31:25:59",,,"高嶺朋樹","パス",,
="0:31:28:75",,,"池谷祐輔","パス",,
="0:31:33:41",,,"生地慶充","パス",,
="0:31:37:50",,,"知久航介","パス",,
="0:31:41:79",,,"生地慶充","パス",,
="0:31:45:96",,,"山川哲史","パス",,
="0:31:48:06",,,"高嶺朋樹","パス",,
="0:31:48:81",,,"池谷祐輔","パス",,
="0:31:50:70",,,"高嶺朋樹","ボールロスト",,
="0:31:52:25","相手チーム","スローイン",,,,
="0:32:17:21",,,"井川空","パス",,
="0:32:18:41",,,"池谷祐輔","ボールロスト",,
="0:32:32:89",,"スローイン","井川空",,,
="0:32:38:18","ポゼッションエンド",,,,,
="0:32:38:18","筑波大学",,,,,
="0:32:42:32",,,"池谷祐輔","パス",,
="0:32:43:67",,,"渡邊陽","パス",,
="0:32:47:71",,,"高嶺朋樹","パス",,
="0:32:49:89",,,"知久航介","パス",,
="0:32:53:54",,,"山川哲史","パス",,
="0:32:55:89",,,"知久航介","パス",,
="0:32:59:55",,,"山川哲史","パス",,
="0:33:02:24",,,"手塚貴大","パス",,
="0:33:08:81",,,"井川空","パス",,
="0:33:10:01",,,"知久航介","パス",,
="0:33:10:75",,,"森海渡","ボールロスト",,
="0:33:11:68","ポゼッションスタート",,,,,
="0:33:11:68","相手チーム",,,,,
="0:33:13:92","ポゼッションエンド",,,,,
="0:33:13:92","相手チーム",,,,,
="0:34:09:61",,,"山川哲史",,"シュートブロック",
="0:34:13:75","ポゼッションスタート",,,,,
="0:34:13:75","筑波大学",,,,,
="0:34:20:83","ポゼッションエンド",,,,,
="0:34:20:83","筑波大学",,,,,
="0:34:24:64",,,"知久航介","パス",,
="0:34:26:94",,,"生地慶充","パス",,
="0:34:29:71",,,"知久航介","パス",,
="0:34:33:09",,,"山川哲史","パス",,
="0:34:36:31",,,"阿部航斗","パス",,
="0:34:40:06",,,"手塚貴大","パス",,
="0:34:43:14",,,"渡邊陽","パス",,
="0:34:44:59",,,"山川哲史","パス",,
="0:34:50:26",,,"知久航介","ボールロスト",,
="0:34:52:92","ポゼッションスタート",,,,,
="0:34:52:92","筑波大学",,,,,
="0:34:59:06",,"スローイン","生地慶充",,,
="0:35:18:26","ポゼッションエンド",,,,,
="0:35:18:26","筑波大学",,,,,
="0:35:21:76",,,"知久航介","パス",,
="0:35:24:02",,,"高嶺朋樹","パス",,
="0:35:28:24",,,"井川空","パス",,
="0:35:28:97",,,"加藤匠人","パス",,
="0:35:31:17",,,"井川空","パス",,
="0:35:35:99",,,"手塚貴大","パス",,
="0:35:38:49",,,"生地慶充","ドリブル",,
="0:35:39:48",,,"山川哲史","パス",,
="0:35:43:98",,,"生地慶充","クロス",,
="0:35:47:34","ポゼッションスタート",,,,,
="0:35:47:34","相手チーム",,,,,
